Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students,Asian and Pacific Islander,Black,Hispanic,Native American,Other,White
north dakota state college of science,800 N 6th St Wahpeton ND 58076-0002,(46.27232 -96.60795),$12314,$13274,614,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),70%,0%,1%,5%,3%,1%,18%,73%
north dakota state university ndsu,1301  12th Avenue North Fargo ND 58108,(46.89074 -96.8126),$19679,$24154,2491,('95%' '96%' '94%'),8143,('57%' '43%'),32%,Co-ed,('52%' '48%'),79%,2%,2%,3%,2%,1%,5%,87%
north florida college,325 NW Turner Davis Dr Madison FL 32340,(30.47294 -83.42129),$3054,$11400,88,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
north georgia technical college,1500 Georgia Hwy 197 N Clarkesville GA 30523,(34.61598 -83.52718),$7022,$9422,254,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),65%,0%,1%,7%,8%,1%,2%,81%
north greenville university,7801 N. Tigerville Road Tigerville SC 29688,(35.06992 -82.37028),$33110,$33110,442,('70%' '65%' '74%'),1966,('53%' '47%'),32%,Co-ed,('48%' '52%'),73%,0%,1%,8%,3%,&lt; 1%,11%,76%
north hennepin community college,7411 85th Ave N Brooklyn Park MN 55445,(45.10703 -93.37601),$4882,$4882,308,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),61%,2%,15%,26%,9%,&lt; 1%,8%,42%
north idaho college,1000 West Garden Avenue Coeur d'Alene ID 83814-2199,(47.67712 -116.79795),$12560,$16336,613,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),62%,0%,1%,1%,7%,1%,12%,77%
north iowa area community college,500 College Dr Mason City IA 50401,(43.15843 -93.13104),$13313,$15889,479,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),69%,1%,1%,4%,7%,&lt; 1%,3%,86%
north park university,3225 W Foster Ave Chicago IL 60625,(41.97527 -87.71151),$43175,$43175,464,('67%' '71%' '61%'),4053,('54%' '46%'),17%,Co-ed,('58%' '42%'),75%,6%,10%,9%,29%,&lt; 1%,8%,44%
north seattle college,9600 College Way North Seattle WA 98103-3599,(47.69935 -122.33498),$4799,$4799,336,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
north shore community college,1 Ferncroft Rd Danvers MA 01923-0840,(42.59047 -70.96856),$5352,$10920,459,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),58%,0%,4%,9%,29%,&lt; 1%,9%,49%
northampton county area community college,3835 Green Pond Rd Bethlehem PA 18020-7599,(40.67562 -75.32798),$17286,$20766,1118,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),55%,1%,3%,12%,25%,&lt; 1%,8%,52%
northcentral technical college,1000 Campus Dr Wausau WI 54401-1899,(44.98728 -89.6465),$10163,$11855,250,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),63%,0%,6%,1%,5%,1%,7%,80%
northeast community college,801 E Benjamin Norfolk NE 68702-0469,(42.04738 -97.39424),$13185,$14445,894,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),71%,1%,1%,1%,11%,1%,6%,80%
northeast iowa community college,1625 Hwy 150 Calmar IA 52132-0400,(43.17069 -91.8644),$6120,$6840,360,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),62%,0%,1%,3%,4%,1%,4%,89%
