Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students
urban college of boston,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,('n/a' 'n/a'),n/a,n/a
wartburg college,100 Wartburg Blvd. Waverly IA 50677,(42.72576 -92.48057),$57490,$57490,413,('83%' '83%' '82%'),4024,('58%' '42%'),12%,Co-ed,('49%' '51%'),79%,8%,1%,5%,5%,&lt; 1%,7%,81%
washburn university,1700 SW College Avenue Topeka KS 66621,(39.03334 -95.70016),$18710,$29714,625,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),70%,4%,1%,6%,11%,1%,14%,67%
washington adventist university,7600 Flower Ave Takoma Park MD 20912,(38.98652 -77.00064),$35298,$35298,56,('62%' '64%' '56%'),1744,('66%' '34%'),5%,Co-ed,('58%' '42%'),79%,7%,8%,36%,15%,1%,15%,25%
washington and jefferson college w j,60 S Lincoln St Washington PA 15301,(40.17031 -80.24055),$63464,$63464,328,('84%' '87%' '79%'),3150,('51%' '49%'),12%,Co-ed,('48%' '52%'),81%,6%,2%,5%,5%,&lt; 1%,10%,78%
washington and lee university,204 West Washington Street Lexington VA 24450,(37.78625 -79.4436),$75650,$75650,484,('19%' '19%' '18%'),6621,('52%' '48%'),39%,Co-ed,('48%' '52%'),96%,4%,4%,2%,5%,&lt; 1%,4%,86%
washington college,300 Washington Ave Chestertown MD 21620,(39.21763 -76.06688),$63774,$63774,260,('70%' '71%' '67%'),2893,('63%' '37%'),13%,Co-ed,('55%' '45%'),84%,11%,4%,9%,6%,1%,5%,76%
washington county community college,One College Drive Calais ME 04619,(45.16606 -67.24273),$9289,$12169,59,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),55%,0%,1%,&lt; 1%,4%,8%,7%,79%
washington state community college,710 Colegate Dr Marietta OH 45750,(39.4311 -81.43436),$4008,$4032,169,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),53%,0%,1%,1%,2%,1%,6%,89%
washington state university wsu,French Administration Building Pullman WA 99164,(41.69596 -87.60813),$24265,$39581,4007,('86%' '87%' '83%'),18197,('59%' '41%'),26%,Co-ed,('55%' '45%'),79%,5%,7%,3%,15%,1%,10%,64%
washington university in st louis washu,One Brookings Drive Saint Louis MO 63130,(38.64779 -90.3013),$76766,$76766,1980,('13%' '12%' '13%'),33634,('54%' '46%'),45%,Co-ed,('54%' '46%'),97%,10%,17%,10%,9%,&lt; 1%,8%,56%
washtenaw community college,4800 E Huron River Dr Ann Arbor MI 48105-4800,(42.26315 -83.66338),$4008,$5616,592,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),68%,2%,4%,15%,7%,&lt; 1%,8%,65%
waubonsee community college,Rte 47 at Waubonsee Drive Sugar Grove IL 60554-9454,(41.78966 -88.4573),$9271,$10076,915,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),71%,0%,4%,7%,38%,&lt; 1%,4%,47%
waukesha county technical college,800 Main Street Pewaukee WI 53072-4601,(43.0749 -88.25254),$4652,$6725,293,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),71%,0%,4%,6%,10%,1%,9%,71%
wayland baptist university,1900 W 7th St. Plainview TX 79072,(34.18703 -101.72689),$30420,$30420,226,('81%' '80%' '80%'),713,('40%' '60%'),39%,Co-ed,('36%' '64%'),49%,1%,4%,18%,30%,1%,8%,39%
wayne community college,3000 Wayne Memorial Dr Goldsboro NC 27534-8002,(35.40251 -77.94608),$2524,$8668,144,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),71%,1%,2%,20%,18%,1%,5%,54%
wayne county community college district,801 W. Fort Street Detroit MI 48226,(42.32757 -83.05468),$2839,$3574,199,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),64%,0%,1%,63%,2%,1%,17%,16%
wayne state college,1111 Main St Wayne NE 68787,(42.24025 -97.01783),$16308,$16308,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),75%,1%,1%,3%,10%,1%,4%,81%
wayne state university wsu,656 West Kirby Street Detroit MI 48202,(42.35816 -83.07228),$25113,$41083,2732,('63%' '63%' '63%'),14878,('61%' '39%'),28%,Co-ed,('59%' '41%'),79%,2%,9%,18%,5%,&lt; 1%,8%,59%
waynesburg university,51 W College St Waynesburg PA 15370,(39.89909 -80.18751),$38830,$38830,294,('75%' '77%' '72%'),2017,('52%' '48%'),19%,Co-ed,('55%' '45%'),78%,0%,1%,4%,2%,&lt; 1%,8%,86%
weatherford college,225 College Park Drive Weatherford TX 76086-5699,(32.74074 -97.79318),$13395,$15495,535,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),n/a,n/a
webb institute,298 Crescent Beach Rd Glen Cove NY 11542,(40.8846 -73.64464),$70035,$70035,26,('20%' '27%' '18%'),176,('25%' '75%'),72%,Co-ed,('26%' '74%'),100%,0%,11%,&lt; 1%,1%,&lt; 1%,7%,81%
webber international university,1201 N Scenic Hwy Babson Park FL 33827,(27.83834 -81.53027),$40672,$40672,231,('46%' '73%' '25%'),1795,('41%' '59%'),28%,Co-ed,('20%' '80%'),49%,19%,2%,41%,14%,&lt; 1%,1%,42%
weber state university,3850 Dixon Parkway Dr. Dept. 1031 Ogden UT 84408,(41.19316 -111.94785),$15232,$25648,2204,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),65%,1%,2%,2%,11%,1%,9%,76%
webster university,470 E Lockwood Ave. Saint Louis MO 63119,(38.591 -90.34547),$39820,$39820,360,('59%' '58%' '61%'),2429,('61%' '39%'),25%,Co-ed,('62%' '38%'),78%,3%,2%,17%,6%,&lt; 1%,12%,62%
welch college,1045 Bison Trail Gallatin TN 37066,(36.36519 -86.54862),$27310,$27310,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),64%,6%,1%,9%,4%,1%,2%,83%
wellesley college,106 Central St Wellesley MA 02481,(42.295931 -71.309061),$79040,$79040,606,('16%' '16%' '0%'),7663,('100%' '0%'),49%,All-female,('100%' '0%'),96%,13%,27%,8%,15%,&lt; 1%,9%,42%
wells college,170 Main Street Aurora NY 13026,(42.74662 -76.69341),$47250,$47250,140,('68%' '71%' '61%'),2167,('65%' '35%'),9%,Co-ed,('52%' '48%'),70%,0%,2%,14%,13%,1%,8%,62%
