Name,Address,Geo Location,in state,out of state,First Year Students,Acceptance Rate (T/F/M),Total Applicants,Applicants Stats (F/M),Percent Accepted that Attend,Sex,Percent (F/M),Retention,International Students
kings college london,n/a,n/a,unknown,unknown,,n/a,n/a,n/a,n/a,n/a,('n/a' 'n/a'),n/a,n/a
lawrence university,College Ave Appleton WI 54911,(44.2618 -88.40517),$63585,$63585,402,('75%' '79%' '69%'),2907,('54%' '46%'),18%,Co-ed,('53%' '47%'),85%,12%,6%,5%,10%,&lt; 1%,5%,73%
le moyne college,1419 Salt Springs Rd Syracuse NY 13214,(43.04764 -76.09083),$51370,$51370,613,('73%' '76%' '68%'),7462,('64%' '36%'),11%,Co-ed,('65%' '35%'),84%,1%,3%,6%,5%,&lt; 1%,10%,76%
le moyne owen college,807 Walker Ave Memphis TN 38126,(35.11935 -90.03439),$18176,$18176,76,('98%' '99%' '95%'),283,('58%' '42%'),27%,Co-ed,('51%' '49%'),62%,2%,&lt; 1%,99%,1%,&lt; 1%,&lt; 1%,&lt; 1%
lebanon valley college,101 N College Ave Annville PA 17003,(40.33181 -76.51345),$59990,$59990,474,('78%' '81%' '72%'),3019,('53%' '47%'),20%,Co-ed,('51%' '49%'),82%,1%,2%,4%,6%,&lt; 1%,6%,81%
lee college,511 S Whiting Baytown TX 77520,(29.73023 -94.97544),$3882,$4302,299,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),22%,0%,2%,13%,47%,&lt; 1%,5%,32%
lee university,1120 N Ocoee St Cleveland TN 37311,(35.16604 -84.87163),$29010,$29010,620,('83%' '82%' '84%'),2222,('71%' '29%'),34%,Co-ed,('65%' '35%'),80%,3%,1%,5%,2%,1%,13%,78%
leech lake tribal college,6945 Littlewolf Road NW Cass Lake MN 56633,(47.39636 -94.65214),$4850,$4850,21,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),78%,0%,&lt; 1%,1%,&lt; 1%,81%,9%,8%
lees mcrae college,191 Main Street Banner Elk NC 28604,(36.16255 -81.87513),$39840,$39840,247,('60%' '59%' '60%'),1743,('65%' '35%'),24%,Co-ed,('61%' '39%'),67%,2%,1%,7%,6%,1%,12%,74%
leeward community college,96-045 Ala Ike Pearl City HI 96782-3366,(21.39336 -157.98002),$3209,$8345,517,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),68%,1%,37%,2%,16%,5%,32%,8%
lehigh carbon community college,4525 Education Park Dr Schnecksville PA 18078-2598,(40.66313 -75.61097),$6720,$10080,759,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),60%,0%,3%,8%,27%,1%,7%,55%
lehigh university,27 Memorial Drive West Bethlehem PA 18015,(40.60711 -75.37897),$72800,$72800,1519,('46%' '51%' '41%'),14107,('48%' '52%'),23%,Co-ed,('47%' '53%'),94%,9%,9%,4%,9%,&lt; 1%,10%,68%
lenoir community college,231 Highway 58 South Kinston NC 28504,(35.22194 -77.57608),$2568,$8712,185,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),66%,0%,1%,31%,13%,1%,2%,52%
lenoir rhyne university,625 7th Avenue NE Hickory NC 28601,(35.73844 -81.32722),$54300,$54300,382,('86%' '86%' '84%'),4847,('60%' '40%'),9%,Co-ed,('55%' '45%'),68%,3%,2%,12%,6%,&lt; 1%,12%,68%
lesley university,29 Everett St Cambridge MA 02138,(42.37985 -71.11726),$46120,$46120,280,('87%' '90%' '78%'),2942,('73%' '27%'),11%,Co-ed,('76%' '24%'),80%,4%,5%,8%,13%,&lt; 1%,11%,63%
letourneau university,2100 S Mobberly Ave Longview TX 75602,(32.46684 -94.73064),$43660,$43660,328,('54%' '48%' '59%'),2290,('45%' '55%'),26%,Co-ed,('37%' '63%'),78%,3%,2%,10%,7%,1%,12%,68%
lewis and clark community college,5800 Godfrey Rd Godfrey IL 62035,(38.95117 -90.19079),$9552,$12552,427,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),65%,0%,1%,9%,3%,1%,9%,79%
lewis clark college,0615 S W Palatine Hill Rd Portland OR 97219,(45.45116 -122.66948),$71350,$71350,677,('79%' '81%' '75%'),5519,('65%' '35%'),15%,Co-ed,('65%' '35%'),82%,9%,6%,3%,12%,1%,12%,66%
lewis clark state college,500 8th Ave Lewiston ID 83501,(46.41246 -117.02896),$14842,$28098,394,('100%' '100%' '100%'),1580,('61%' '39%'),25%,Co-ed,('61%' '39%'),63%,2%,2%,1%,7%,3%,8%,80%
lewis university,One University Parkway Romeoville IL 60446,(41.6055 -88.07819),$46694,$46694,567,('71%' '72%' '69%'),4311,('54%' '46%'),18%,Co-ed,('50%' '50%'),82%,2%,4%,6%,20%,&lt; 1%,10%,59%
liberty university,1971 University Blvd Lynchburg VA 24515,(37.34994 -79.17855),$34260,$34260,5461,('99%' '99%' '99%'),28448,('61%' '39%'),19%,Co-ed,('57%' '43%'),82%,1%,1%,12%,5%,1%,32%,49%
life pacific college,1100 W. Covina Blvd. San Dimas CA 91773,(34.09937 -117.82906),$28407,$28407,76,('94%' '91%' '96%'),116,('53%' '47%'),70%,Co-ed,('44%' '56%'),75%,1%,4%,5%,36%,1%,13%,43%
life university,1269 Barclay Circle Marietta GA 30060,(33.93335 -84.5147),$28311,$28311,173,('96%' '98%' '94%'),318,('41%' '59%'),57%,Co-ed,('43%' '57%'),63%,7%,3%,32%,12%,2%,3%,48%
lim college,12 E 53rd St New York NY 10022-5268,(40.76006 -73.97498),$50204,$50204,206,('84%' '85%' '78%'),1157,('87%' '13%'),22%,Co-ed,('88%' '12%'),69%,10%,7%,23%,21%,1%,3%,44%
limestone university,1115 College Drive Gaffney SC 29340,(35.05709 -81.64862),$36945,$36945,294,('88%' '86%' '90%'),1845,('52%' '48%'),18%,Co-ed,('44%' '56%'),52%,4%,1%,45%,4%,1%,7%,43%
lincoln christian university,100 Campus View Drive Lincoln IL 62656,(40.14976 -89.34885),$22310,$22310,58,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),85%,4%,2%,8%,3%,1%,3%,83%
lincoln land community college,5250 Shepherd Rd Springfield IL 62794-9256,(39.7205 -89.61221),$6840,$10068,656,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),68%,0%,1%,10%,4%,1%,12%,71%
lincoln memorial university,6965 Cumberland Gap Pkwy Harrogate TN 37752,(36.58061 -83.65654),$34884,$34884,302,('70%' '69%' '71%'),2013,('69%' '31%'),21%,Co-ed,('64%' '36%'),75%,0%,1%,6%,&lt; 1%,1%,8%,83%
lincoln trail college,11220 State Hwy 1 Robinson IL 62454,(39.01853 -87.68469),$10056,$12082,196,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),55%,0%,1%,6%,3%,&lt; 1%,2%,88%
lincoln university california,401 15th Street Oakland CA 94612,(37.80488 -122.26955),$11420,$11420,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),100%,51%,30%,16%,8%,&lt; 1%,7%,38%
lincoln university missouri,820 Chestnut Street Jefferson City MO 65101,(38.56409 -92.16856),$17630,$24620,351,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),50%,2%,1%,46%,2%,&lt; 1%,8%,42%
lincoln university pennsylvania,1570 Baltimore Pike Lincoln University PA 19352,(39.80982 -75.93023),$21632,$27988,477,('80%' '85%' '71%'),3536,('59%' '41%'),17%,Co-ed,('68%' '32%'),78%,3%,&lt; 1%,85%,3%,&lt; 1%,9%,2%
lindenwood university,209 S Kingshighway Saint Charles MO 63301,(38.78525 -90.49711),$28840,$28840,729,('75%' '78%' '70%'),3355,('55%' '45%'),29%,Co-ed,('56%' '44%'),70%,11%,1%,16%,5%,&lt; 1%,18%,60%
lindsey wilson college,210 Lindsey Wilson St Columbia KY 42728,(37.10346 -85.30236),$35213,$35213,,n/a,n/a,n/a,n/a,,('n/a' 'n/a'),61%,0%,1%,8%,1%,&lt; 1%,30%,61%
linfield college,900 SE Baker McMinnville OR 97128,(45.2023 -123.20201),$59232,$59232,315,('85%' '88%' '78%'),2187,('60%' '40%'),17%,Co-ed,('62%' '38%'),79%,5%,6%,2%,17%,1%,14%,60%
linn benton community college,6500 Pacific Blvd SW Albany OR 97321,(44.58631 -123.11397),$5675,$12730,458,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),49%,1%,3%,1%,14%,2%,17%,64%
lipscomb university,One University Park Drive Nashville TN 37204,(36.10538 -86.80049),$49728,$49728,663,('74%' '74%' '73%'),3422,('66%' '34%'),26%,Co-ed,('61%' '39%'),81%,3%,3%,7%,7%,&lt; 1%,4%,79%
little big horn college,8645 South Weaver Drive Crow Agency MT 59022,(45.60456 -107.45711),$3200,$3200,51,n/a,n/a,n/a,n/a,Co-ed,('n/a' 'n/a'),50%,0%,&lt; 1%,&lt; 1%,&lt; 1%,96%,1%,3%
